@RELATION OperacaoMarubozu

@ATTRIBUTE porcentagemOperacaoFinal REAL
@ATTRIBUTE precoEntrada REAL
@ATTRIBUTE precoPrimeiroAlvoFibonacci REAL
@ATTRIBUTE precoSegundoAlvoFibonacci REAL
@ATTRIBUTE precoStop REAL
@ATTRIBUTE precoTerceiroAlvoFibonacci REAL
@ATTRIBUTE primeiroAlvoAtingido {0,1}
@ATTRIBUTE segundoAlvoAtingido {0,1}
@ATTRIBUTE start {0,1}
@ATTRIBUTE terceiroAlvoAtingido {0,1}
@ATTRIBUTE pavioInferior {0,1,2}
@ATTRIBUTE pavioSuperior {0,1,2}
@ATTRIBUTE tipo {0,1}
@ATTRIBUTE variacaoPreco {0,1,2,3}
@ATTRIBUTE volumeAcimaMedia20 {0,1}

@DATA
3.34,36.19,35.46,35.01,37.4,34.27,0,0,1,0,0,1,0,0,1
0.95,14.6,14.18,13.91,15.31,13.49,1,0,1,0,0,0,0,0,1
1.17,16.74,17.33,17.71,15.74,18.31,1,0,1,0,2,0,1,0,1
9.91,10.31,10.89,11.26,9.33,11.85,1,1,1,1,2,0,1,3,1
6.62,12.83,12.32,12.01,13.68,11.49,0,0,1,0,1,0,0,0,1
1.41,50.27,48.14,46.82,53.75,44.68,1,0,1,0,2,2,0,0,1
1.84,15.74,14.87,14.32,17.18,13.45,1,0,1,0,2,1,0,0,1
3.81,16.49,15.97,15.64,17.36,15.12,1,1,1,0,0,1,0,0,1
1.25,14.87,14.31,13.97,15.79,13.4,1,0,1,0,2,0,0,0,1
8.25,15.27,14.51,14.04,16.53,13.27,0,0,1,0,2,1,0,1,1
6.04,13.51,14.04,14.38,12.61,14.92,1,1,1,0,2,1,1,0,1
4.04,15.31,14.94,14.72,15.93,14.34,0,0,1,0,1,2,0,0,1
11.33,64.77,69.55,72.52,56.99,77.31,1,1,1,0,1,1,1,1,1
3.37,10.95,11.19,11.34,10.54,11.59,1,1,1,0,2,0,1,0,1
4.47,42.83,43.93,44.61,41.04,45.71,1,1,1,1,0,2,1,1,1
3.83,15.87,16.22,16.43,15.29,16.79,1,1,1,1,1,1,1,0,1
6.94,21.51,22.36,22.9,20.09,23.76,1,1,1,1,0,1,1,0,1
7.67,22.91,23.91,24.54,21.24,25.56,1,1,1,1,1,0,1,0,1
7.55,17.91,18.79,19.34,16.43,20.24,1,1,1,0,0,0,1,1,1
4.53,39.25,40.32,41,37.47,42.08,0,0,1,0,2,0,1,0,1
2.14,17.56,16.43,15.71,19.45,14.57,1,0,1,0,2,1,0,0,1
3.42,13.98,14.29,14.5,13.43,14.82,1,1,1,0,0,1,1,0,1
0.62,36.62,37.31,37.75,35.46,38.45,1,0,1,0,1,2,1,0,1
3.44,37.73,36.65,35.98,39.51,34.89,1,1,1,0,0,0,0,0,1
6.42,21.01,21.82,22.33,19.66,23.15,0,0,1,0,1,0,1,1,1
3.39,18.2,17.69,17.36,19.08,16.84,1,1,1,0,0,0,0,0,1
0,11.5,11.12,10.87,12.15,10.49,0,0,0,0,2,2,0,0,1
1.88,21.95,20.71,19.93,24.01,18.68,1,0,1,0,1,2,0,0,1
1.36,38,39.56,40.54,35.43,42.11,1,0,1,0,1,0,1,1,1
0.86,39.8,40.83,41.46,38.12,42.5,1,0,1,0,0,0,1,0,1
3.69,52.44,53.7,54.48,50.38,55.75,1,1,1,0,0,1,1,1,1
4.81,28.32,29.21,29.76,26.84,30.67,1,1,1,0,1,1,1,0,1
1.03,12.92,13.32,13.58,12.23,13.99,1,0,1,0,0,0,1,0,1
3.76,50.44,51.68,52.46,48.39,53.71,1,1,1,0,1,1,1,0,1
1.52,81.01,84.72,87.02,74.97,90.74,1,0,1,0,1,1,1,0,1
5.66,13.32,13.81,14.12,12.49,14.62,1,1,1,0,0,2,1,0,1
4.07,52.47,53.86,54.73,50.18,56.13,1,1,1,0,1,2,1,0,1
5.95,24.5,25.37,25.91,23.04,26.8,0,0,1,0,2,2,1,0,1
2.91,21.77,21.41,21.18,22.4,20.81,1,1,1,1,0,0,0,0,1
5.72,31.81,32.85,33.5,30.09,34.55,1,1,1,1,2,2,1,0,1
0,13.16,13.57,13.84,12.45,14.26,0,0,0,0,2,2,1,0,1
6.95,20,20.83,21.35,18.61,22.2,0,0,1,0,1,0,1,0,1
6.39,42.48,44.03,45.01,39.92,46.57,1,1,1,1,1,0,1,0,1
5.25,55.01,56.77,57.87,52.12,59.64,0,0,1,0,1,2,1,0,1
6.99,19.86,19.03,18.52,21.25,17.67,0,0,1,0,0,1,0,0,1
9.65,12.01,12.7,13.14,10.85,13.84,0,0,1,0,0,2,1,0,1
9.46,24.81,26.15,26.99,22.59,28.34,1,1,1,1,0,0,1,1,1
7.01,18.97,18.18,17.68,20.3,16.88,0,0,1,0,0,0,0,0,1
12.5,29.6,31.86,33.26,25.9,35.54,0,0,1,0,0,0,1,0,1
0.75,39.69,40.59,41.16,38.19,42.07,1,0,1,0,0,1,1,0,1
5.65,27.09,28.36,29.15,24.99,30.44,1,1,1,0,2,1,1,0,1
5.17,24.91,28.78,31.18,18.59,35.07,1,0,1,0,0,0,1,3,1
6.5,13.78,13.04,12.57,15.01,11.83,1,1,1,0,0,0,0,0,1
5.67,10.92,11.28,11.51,10.3,11.88,0,0,1,0,0,1,1,0,1
7.77,94.33,98.83,101.62,87,106.14,0,0,1,0,1,0,1,0,1
4.65,13.31,12.94,12.72,13.93,12.34,0,0,1,0,0,0,0,0,1
5.2,11.34,10.99,10.78,11.93,10.42,0,0,1,0,0,1,0,0,1
2.3,11.14,10.37,9.89,12.42,9.11,1,0,1,0,0,2,0,0,1
6.14,26.54,25.19,24.34,28.78,22.98,1,1,1,0,0,1,0,0,1
5.88,29.41,30.45,31.09,27.68,32.15,0,0,1,0,2,0,1,0,1
4.64,16.99,17.44,17.74,16.2,18.2,0,0,1,0,0,0,1,0,1
1,18.49,17.93,17.59,19.42,17.02,1,0,1,0,1,2,0,0,1
0.57,38.46,37.8,37.4,39.55,36.73,1,0,1,0,1,0,0,0,1
5.73,37.69,39.01,39.83,35.53,41.16,0,0,1,0,0,1,1,0,1
11.05,12.39,13.21,13.73,11.02,14.56,0,0,1,0,0,2,1,1,1
10.56,33.59,31.41,30.07,37.14,27.88,0,0,1,0,1,1,0,0,1
0,23.11,23.73,24.12,22.06,24.75,0,0,0,0,0,1,1,0,1
4.01,25.15,24.54,24.17,26.16,23.55,0,0,1,0,1,1,0,0,1
15.9,18.24,16.58,15.55,20.96,13.88,1,1,1,1,1,0,0,0,1
1.2,13.81,14.31,14.63,12.96,15.14,1,0,1,0,0,1,1,1,1
3.98,14.06,14.38,14.59,13.5,14.92,0,0,1,0,0,1,1,0,1
